;N°;NIVEL;DEPARTAMENTO;PROVINCIA;MUNICIPIO/TIOC;ÁREA;TOTAL;;;;;;;;;DISTRIBUCIÓN PORCENTUAL POR SEXO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;2001;;;2012;;;2024;;;2001;;;2012;;;2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;179;Municipio/TIOC;La Paz;Pacajes;Comanche;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;180;Municipio/TIOC;La Paz;Pacajes;Comanche;Rural;3.862;1.865;1.997;3.880;1.958;1.922;5.238;2.547;2.691;100,0;48,3;51,7;100,0;50,5;49,5;100,0;48,6;51,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;181;Municipio/TIOC;La Paz;Pacajes;Charaña;Charaña;2.766;1.454;1.312;3.246;1.642;1.604;4.221;2.185;2.036;100,0;52,6;47,4;100,0;50,6;49,4;100,0;51,8;48,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;182;Municipio/TIOC;La Paz;Pacajes;Charaña;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;183;Municipio/TIOC;La Paz;Pacajes;Charaña;Rural;2.766;1.454;1.312;3.246;1.642;1.604;4.221;2.185;2.036;100,0;52,6;47,4;100,0;50,6;49,4;100,0;51,8;48,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;184;Municipio/TIOC;La Paz;Pacajes;Waldo Ballivián;Waldo Ballivián;1.657;852;805;5.069;2.599;2.470;6.442;3.546;2.896;100,0;51,4;48,6;100,0;51,3;48,7;100,0;55,0;45,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;185;Municipio/TIOC;La Paz;Pacajes;Waldo Ballivián;Urbana;;;;2.026;1.045;981;2.006;1.095;911;;;;100,0;51,6;48,4;100,0;54,6;45,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;186;Municipio/TIOC;La Paz;Pacajes;Waldo Ballivián;Rural;1.657;852;805;3.043;1.554;1.489;4.436;2.451;1.985;100,0;51,4;48,6;100,0;51,1;48,9;100,0;55,3;44,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;187;Municipio/TIOC;La Paz;Pacajes;Nazacara de Pacajes;Nazacara de Pacajes;267;134;133;619;334;285;4.022;2.050;1.972;100,0;50,2;49,8;100,0;54,0;46,0;100,0;51,0;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;188;Municipio/TIOC;La Paz;Pacajes;Nazacara de Pacajes;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;189;Municipio/TIOC;La Paz;Pacajes;Nazacara de Pacajes;Rural;267;134;133;619;334;285;4.022;2.050;1.972;100,0;50,2;49,8;100,0;54,0;46,0;100,0;51,0;49,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;190;Municipio/TIOC;La Paz;Pacajes;Santiago de Callapa;Santiago de Callapa;8.099;4.237;3.862;7.289;3.932;3.357;8.037;4.177;3.860;100,0;52,3;47,7;100,0;53,9;46,1;100,0;52,0;48,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;191;Municipio/TIOC;La Paz;Pacajes;Santiago de Callapa;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;192;Municipio/TIOC;La Paz;Pacajes;Santiago de Callapa;Rural;8.099;4.237;3.862;7.289;3.932;3.357;8.037;4.177;3.860;100,0;52,3;47,7;100,0;53,9;46,1;100,0;52,0;48,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;193;Provincia;La Paz;Camacho;;Camacho;57.877;28.915;28.962;54.072;27.639;26.433;63.654;32.840;30.814;100,0;50,0;50,0;100,0;51,1;48,9;100,0;51,6;48,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;194;Provincia;La Paz;Camacho;;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;195;Provincia;La Paz;Camacho;;Rural;57.877;28.915;28.962;54.072;27.639;26.433;63.654;32.840;30.814;100,0;50,0;50,0;100,0;51,1;48,9;100,0;51,6;48,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;196;Municipio/TIOC;La Paz;Camacho;Puerto Acosta;Puerto Acosta;13.083;6.440;6.643;11.290;5.623;5.667;14.012;7.156;6.856;100,0;49,2;50,8;100,0;49,8;50,2;100,0;51,1;48,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;197;Municipio/TIOC;La Paz;Camacho;Puerto Acosta;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;198;Municipio/TIOC;La Paz;Camacho;Puerto Acosta;Rural;13.083;6.440;6.643;11.290;5.623;5.667;14.012;7.156;6.856;100,0;49,2;50,8;100,0;49,8;50,2;100,0;51,1;48,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;199;Municipio/TIOC;La Paz;Camacho;Mocomoco;Mocomoco;17.233;8.746;8.487;15.665;8.178;7.487;17.811;9.298;8.513;100,0;50,8;49,2;100,0;52,2;47,8;100,0;52,2;47,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;200;Municipio/TIOC;La Paz;Camacho;Mocomoco;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;201;Municipio/TIOC;La Paz;Camacho;Mocomoco;Rural;17.233;8.746;8.487;15.665;8.178;7.487;17.811;9.298;8.513;100,0;50,8;49,2;100,0;52,2;47,8;100,0;52,2;47,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;202;Municipio/TIOC;La Paz;Camacho;Puerto Mayor de Carabuco;Puerto Mayor de Carabuco;14.721;7.535;7.186;14.589;7.579;7.010;17.336;9.000;8.336;100,0;51,2;48,8;100,0;52,0;48,0;100,0;51,9;48,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;203;Municipio/TIOC;La Paz;Camacho;Puerto Mayor de Carabuco;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;204;Municipio/TIOC;La Paz;Camacho;Puerto Mayor de Carabuco;Rural;14.721;7.535;7.186;14.589;7.579;7.010;17.336;9.000;8.336;100,0;51,2;48,8;100,0;52,0;48,0;100,0;51,9;48,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;205;Municipio/TIOC;La Paz;Camacho;Humanata;Humanata;5.599;2.648;2.951;5.342;2.710;2.632;5.658;2.925;2.733;100,0;47,3;52,7;100,0;50,7;49,3;100,0;51,7;48,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;206;Municipio/TIOC;La Paz;Camacho;Humanata;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;207;Municipio/TIOC;La Paz;Camacho;Humanata;Rural;5.599;2.648;2.951;5.342;2.710;2.632;5.658;2.925;2.733;100,0;47,3;52,7;100,0;50,7;49,3;100,0;51,7;48,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;208;Municipio/TIOC;La Paz;Camacho;Escoma;Escoma;7.241;3.546;3.695;7.186;3.549;3.637;8.837;4.461;4.376;100,0;49,0;51,0;100,0;49,4;50,6;100,0;50,5;49,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;209;Municipio/TIOC;La Paz;Camacho;Escoma;Urbana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;210;Municipio/TIOC;La Paz;Camacho;Escoma;Rural;7.241;3.546;3.695;7.186;3.549;3.637;8.837;4.461;4.376;100,0;49,0;51,0;100,0;49,4;50,6;100,0;50,5;49,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
